my_affiliation,my_group,neighborhood
1styeargrad ,sandy,Boston
mlgrad,sandy,Boston
mlgrad,sandy,Mit
mlgrad,cynthia,Porter
grad,sandy,MIT
mlgrad,sandy,Central Square
professor,sandy,Lexington
mlgrad,mitch,MIT
mlstaff,,
mlgrad,pattie,Boston
grad,,Dublin
sloan,Surfers,
1styeargrad ,pattie,MIT
1styeargrad ,chris,Central
mlstaff,necsys,Brookline
1styeargrad ,chris,MIT
1styeargrad ,andy,MIT
1styeargrad ,,Porter
1styeargrad ,chris,Boston
mlgrad,sandy,Boston
mlgrad,henry,Central Square
1styeargrad ,andy,MIT
mlgrad,pattie,MIT
1styeargrad ,,
mlgrad,mitch,Fresh Pond
mlgrad,sandy,Belmont
mlurop,,
mlfrosh,,MIT
mlfrosh,,
mlgrad,pattie,Boston
mlgrad,,
mlgrad,john,Fresh Pond
mlfrosh,,MIt
mlfrosh,,MIT
mlstaff,,MIT
sloan,Parasailors,
mlgrad,joej,MIT
sloan,Surfers,
sloan,Kiteboarders,
sloan,Parasailors,
sloan,Carribean Snorklers,Boston
mlgrad,barry,MIT
sloan,Parasailors,Harvard
mlgrad,hugh,
sloan,Parasailors,On/near MIT campus
sloan,Wakeboarders,
sloan,,
sloan,waterskiiers,
1styeargrad ,tod,Boston
mlgrad,sandy,Porter
sloan,Surfers,Brookline
mlurop,tod,MIT
1styeargrad ,dan,
mlgrad,hugh,Central
sloan,,Porter
mlgrad,semor,
mlgrad,john,Central
1styeargrad ,bove,
sloan,Parasailors,
mlgrad,neil,
sloan,Snorkelers,Central Square
mlgrad,tod,
sloan,Windsurfers,
mlgrad,tod,Harvard
sloan,Windsurfers,
sloan,Waterskiers,Harvard Square
mlfrosh,,
mlfrosh,,
sloan,Waterskiers,
sloan,Windsurfers,Central Square
1styeargrad ,pattie,Central
mlgrad,roz,
sloan,waterskiers,
mlstaff,,
sloan,Wakeboarders,Boston
mlstaff,,
1styeargrad ,marvin,Central
sloan_2,,MIT
mlgrad,roz,Porter
mlgrad,tod,MIT
mlgrad,neil,
sloan,Parasailors,Inman Square
mlgrad,walter,
sloan,,
mlgrad,henry,
sloan,Wakeborders,On/near MIT campus
sloan,,Central
mlgrad,andy,Harvard Square
1styeargrad ,judith,
mlgrad,gloriana,Inman Square
mlurop,,Newton
mlgrad,gloriana,MIT
grad,,Central
mlstaff,admin,Concord
